RefDes,Description,Value,Manufacturer,Mfg P/N,Link
"C1, C7, C8, C9, C10, C11, C12, C13","Capacitor, Ceramic",100nF 50V,Kemet,C0805C104K5RACAUTO,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_KEMET_C0805C104K5RACAUTO_100nF-104-10-50V-Car-level_C129641.html
"C2, C3, C4, C5, C6","Capacitor, Electrolytic",47u 35V,Nichicon,UWX1V470MCL1GB,https://www.digikey.com/short/p80qq5
C14,"Capacitor, Ceramic",10uF,Taiyo Yuden,GMK316BJ106KL-T,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Taiyo-Yuden-GMK316BJ106KL-T_C92797.html
C15,"Capacitor, Ceramic",150pF 50v 0805,CCTC,TCC0805X7R151K500BT,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R151K500BT_C282743.html
C16,"Capacitor, Ceramic",22uF 6.3V,Taiyo Yuden,JMK316BJ226KL-T,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_TAIYO-YUDEN_JMK316BJ226KL-T_22uF-226-10-6-3V_C92791.html
"D1, D2, D3","Diode, Schottkey","diode, Schottkey 3A",(MDD) Jiangsu Yutai Elec,(MDD) Jiangsu Yutai Elec,https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Jiangsu-Yutai-Elec-B340A_C64982.html
J1,"Connector, Header","Header Male 1x8 0.1""",Nextronics Engineering,Z-211-0811-0021-001,https://lcsc.com/product-detail/Others_Nextronics-Engineering-Z-211-0811-0021-001_C190820.html
"J2, J3, J4, J5, J6, J7","Connector, Header","Header Male 1x4 0.1""",TE Connectivity,,https://lcsc.com/product-detail/Male-Header_2-54mm-1-4P-HeaderG-FRegular_C152150.html
J8,"Connector, Header","Header Male 2x5 0.1""",Nextronics Engineering,Z-21310110021001,https://lcsc.com/product-detail/PCB-Connectors-Headers-Male-Pins_Nextronics-Engineering-Z-21310110021001_C115170.html
J13,"Connector, Header","Header Male 1x2 0.1""",Nextronics Engineering,Z-211-0211-0021-001,https://lcsc.com/product-detail/Male-Header_2-54mm-1-2P-Header-G-FRegular_C152154.html
J20,"Socket, Micro SD",Micro SD Socket,Korean Hroparts Elec TF-01A,TF-01A,https://lcsc.com/product-detail/Connector-Card-Sockets_Korean-Hroparts-Elec-TF-01A_C91145.html
K1,Relay,Relay 5V SPDT,Ningbo Songle Relay,SRD-05VDC-SL-C,https://lcsc.com/product-detail/Relays_SRD-05VDC-SL-C_C35449.html
L1,Inductor,Inductor 4.7uH 5.5A,Chilisin Elec,MHCI06030-4R7M-R8,https://lcsc.com/product-detail/Power-Inductors_Chilisin-Elec-MHCI06030-4R7M-R8_C108295.html
Q1,Transistor,NPN Transistor 0.5A,Semtech ,MMBT9013H,https://lcsc.com/product-detail/Transistors-NPN-PNP_MMBT9013H_C81408.html
